iter	RMSE
0	0.4717919904
1	0.446591258
2	0.4205356104
3	0.4000136404
4	0.3794508629
5	0.3598946307
6	0.3423669039
7	0.3251789949
8	0.309152025
9	0.2939744647
10	0.2804216732
11	0.2678710593
12	0.255506095
13	0.2450223503
14	0.2350878518
15	0.2252199576
16	0.2147014484
17	0.2060102292
18	0.1974223608
19	0.1890477444
20	0.1814024489
21	0.1740089553
22	0.1682072789
23	0.1604707354
24	0.1536868999
25	0.147936192
26	0.1420870565
27	0.1376551829
28	0.1325778505
29	0.1302962758
30	0.1245139175
31	0.1190943507
32	0.1156611953
33	0.1114866929
34	0.1083085203
35	0.1052269239
36	0.1020014509
37	0.09890526688
38	0.09535635604
39	0.09206081307
40	0.08918074677
41	0.08597877464
42	0.0833792586
43	0.08063244924
44	0.07897748614
45	0.07729033104
46	0.07537187245
47	0.07327322807
48	0.07141526777
49	0.06868203223
50	0.06717294818
51	0.06514949341
52	0.06368244543
53	0.0620058849
54	0.0608156194
55	0.05968637334
56	0.05793612385
57	0.05632900149
58	0.0544104056
59	0.05322546895
60	0.05215439456
61	0.05083721388
62	0.04959002431
63	0.04882598136
64	0.04780501918
65	0.04684137014
66	0.04595944102
67	0.04500697459
68	0.0441420801
69	0.04328067948
70	0.04217713588
71	0.04156521736
72	0.04068654886
73	0.04024520624
74	0.03913986714
75	0.03860287102
76	0.03736804156
77	0.0362910957
78	0.03592661889
79	0.03525930703
80	0.03503470812
81	0.0345957029
82	0.03407783481
83	0.0339895481
84	0.03316788151
85	0.03304159554
86	0.03261941001
87	0.03166988175
88	0.03125416885
89	0.03064188001
90	0.03016519136
91	0.03000032431
92	0.02991173284
93	0.02981548331
94	0.02920610082
95	0.02914587871
96	0.02888634166
97	0.02881309385
98	0.02824959369
99	0.02770656351
